Condition,Region,GroupCount,GrandMeanSynchrony,SD,Ndyads
0,Central,23,0.00550554186987562,0.00378551239089904,23
0,CentroParietal,23,0.000786744006605847,0.00340679488320538,23
0,Frontal,23,0.00884657263931531,0.00617161727902236,23
0,FrontoCentral,23,0.00809106190960035,0.00523674790968123,23
0,Occipital,23,0.0202018677870659,0.0196400336881112,23
0,Other,23,0.00638953416142968,0.00687604541792543,23
0,Parietal,23,0.0143090382066587,0.00992408491509991,23
0,Temporal,23,0.00196505914529311,0.00237575758678471,23
sponL,Central,23,0.00709695895648282,0.00624437050501137,23
sponL,CentroParietal,23,0.001966615946766,0.00563328573971133,23
sponL,Frontal,23,0.00960745012078708,0.00941239435378981,23
sponL,FrontoCentral,23,0.00934990785941569,0.00802433954842929,23
sponL,Occipital,23,0.0195251204636762,0.0235971281257542,23
sponL,Other,23,0.00998836512495412,0.0118623122696546,23
sponL,Parietal,23,0.0155662686448039,0.0121034314036884,23
sponL,Temporal,23,0.00150902989130796,0.00418897317464728,23
